Skill Name,Outbound,Center,Call Type,Month
UWCM General,7825,UWCM,I & R,July
CCSI General,2276,CCSI,I & R,July
MHA General,410,MHA,I & R,July
LCC General,350,LCC,I & R,July
UWCM General,8442,UWCM,I & R,August
CCSI General,2766,CCSI,I & R,August
MHA General,458,MHA,I & R,August
LCC General,358,LCC,I & R,August
UWCM General,8467.0,UWCM,I & R,September
CCSI General,2899.0,CCSI,I & R,September
MHA General,494.0,MHA,I & R,September
LCC General,332.0,LCC,I & R,September
UWCM General,8827.0,UWCM,I & R,October
CCSI General,2902.0,CCSI,I & R,October
MHA General,441.0,MHA,I & R,October
LCC General,274.0,LCC,I & R,October
UWCM General,10243.0,UWCM,I & R,November
CCSI General,2405.0,CCSI,I & R,November
MHA General,474.0,MHA,I & R,November
LCC General,226.0,LCC,I & R,November
UWCM General,11191.0,UWCM,I & R,December
CCSI General,2583.0,CCSI,I & R,December
MHA General,556.0,MHA,I & R,December
LCC General,224.0,LCC,I & R,December
UWCM General,10385.0,UWCM,I & R,January
CCSI General,3091.0,CCSI,I & R,January
MHA General,946.0,MHA,I & R,January
LCC General,241.0,LCC,I & R,January
