hour_of_day,Call Type,Outbound,Month
12 AM,I & R,42,July
1 AM,I & R,40,July
2 AM,I & R,40,July
3 AM,I & R,48,July
4 AM,I & R,43,July
5 AM,I & R,67,July
6 AM,I & R,180,July
7 AM,I & R,589,July
8 AM,I & R,996,July
9 AM,I & R,1121,July
10 AM,I & R,1275,July
11 AM,I & R,1157,July
12 PM,I & R,1077,July
1 PM,I & R,1053,July
2 PM,I & R,883,July
3 PM,I & R,675,July
4 PM,I & R,452,July
5 PM,I & R,304,July
6 PM,I & R,259,July
7 PM,I & R,177,July
8 PM,I & R,145,July
9 PM,I & R,96,July
10 PM,I & R,87,July
11 PM,I & R,55,July
12 AM,I & R,50,August
1 AM,I & R,45,August
2 AM,I & R,47,August
3 AM,I & R,31,August
4 AM,I & R,46,August
5 AM,I & R,52,August
6 AM,I & R,185,August
7 AM,I & R,660,August
8 AM,I & R,1054,August
9 AM,I & R,1244,August
10 AM,I & R,1289,August
11 AM,I & R,1287,August
12 PM,I & R,1206,August
1 PM,I & R,1110,August
2 PM,I & R,1008,August
3 PM,I & R,902,August
4 PM,I & R,522,August
5 PM,I & R,383,August
6 PM,I & R,248,August
7 PM,I & R,201,August
8 PM,I & R,192,August
9 PM,I & R,131,August
10 PM,I & R,70,August
11 PM,I & R,61,August
12 AM,I & R,50,September
1 AM,I & R,38,September
2 AM,I & R,22,September
3 AM,I & R,27,September
4 AM,I & R,30,September
5 AM,I & R,64,September
6 AM,I & R,175,September
7 AM,I & R,648,September
8 AM,I & R,1138,September
9 AM,I & R,1388,September
10 AM,I & R,1338,September
11 AM,I & R,1358,September
12 PM,I & R,1252,September
1 PM,I & R,1126,September
2 PM,I & R,1024,September
3 PM,I & R,824,September
4 PM,I & R,543,September
5 PM,I & R,349,September
6 PM,I & R,258,September
7 PM,I & R,179,September
8 PM,I & R,139,September
9 PM,I & R,97,September
10 PM,I & R,67,September
11 PM,I & R,58,September
12 AM,I & R,33.0,October
1 AM,I & R,33.0,October
2 AM,I & R,26.0,October
3 AM,I & R,35.0,October
4 AM,I & R,29.0,October
5 AM,I & R,48.0,October
6 AM,I & R,139.0,October
7 AM,I & R,615.0,October
8 AM,I & R,1141.0,October
9 AM,I & R,1366.0,October
10 AM,I & R,1554.0,October
11 AM,I & R,1342.0,October
12 PM,I & R,1307.0,October
1 PM,I & R,1184.0,October
2 PM,I & R,1158.0,October
3 PM,I & R,852.0,October
4 PM,I & R,547.0,October
5 PM,I & R,315.0,October
6 PM,I & R,218.0,October
7 PM,I & R,161.0,October
8 PM,I & R,122.0,October
9 PM,I & R,105.0,October
10 PM,I & R,78.0,October
11 PM,I & R,36.0,October
12 AM,I & R,46.0,November
1 AM,I & R,26.0,November
2 AM,I & R,36.0,November
3 AM,I & R,25.0,November
4 AM,I & R,36.0,November
5 AM,I & R,39.0,November
6 AM,I & R,76.0,November
7 AM,I & R,361.0,November
8 AM,I & R,1047.0,November
9 AM,I & R,1499.0,November
10 AM,I & R,1555.0,November
11 AM,I & R,1536.0,November
12 PM,I & R,1422.0,November
1 PM,I & R,1321.0,November
2 PM,I & R,1200.0,November
3 PM,I & R,1103.0,November
4 PM,I & R,707.0,November
5 PM,I & R,392.0,November
6 PM,I & R,260.0,November
7 PM,I & R,225.0,November
8 PM,I & R,177.0,November
9 PM,I & R,112.0,November
10 PM,I & R,87.0,November
11 PM,I & R,60.0,November
12 AM,I & R,62.0,December
1 AM,I & R,57.0,December
2 AM,I & R,43.0,December
3 AM,I & R,50.0,December
4 AM,I & R,34.0,December
5 AM,I & R,65.0,December
6 AM,I & R,242.0,December
7 AM,I & R,861.0,December
8 AM,I & R,1464.0,December
9 AM,I & R,1672.0,December
10 AM,I & R,1581.0,December
11 AM,I & R,1613.0,December
12 PM,I & R,1514.0,December
1 PM,I & R,1405.0,December
2 PM,I & R,1172.0,December
3 PM,I & R,943.0,December
4 PM,I & R,503.0,December
5 PM,I & R,355.0,December
6 PM,I & R,251.0,December
7 PM,I & R,221.0,December
8 PM,I & R,154.0,December
9 PM,I & R,144.0,December
10 PM,I & R,84.0,December
11 PM,I & R,64.0,December
12 AM,I & R,51.0,January
1 AM,I & R,39.0,January
2 AM,I & R,41.0,January
3 AM,I & R,36.0,January
4 AM,I & R,40.0,January
5 AM,I & R,90.0,January
6 AM,I & R,208.0,January
7 AM,I & R,794.0,January
8 AM,I & R,1427.0,January
9 AM,I & R,1685.0,January
10 AM,I & R,1581.0,January
11 AM,I & R,1519.0,January
12 PM,I & R,1538.0,January
1 PM,I & R,1325.0,January
2 PM,I & R,1183.0,January
3 PM,I & R,1013.0,January
4 PM,I & R,579.0,January
5 PM,I & R,414.0,January
6 PM,I & R,323.0,January
7 PM,I & R,209.0,January
8 PM,I & R,237.0,January
9 PM,I & R,150.0,January
10 PM,I & R,110.0,January
11 PM,I & R,71.0,January
