hour_of_day,Call Type,Outbound,Month
12 AM,Press 1,116,July
1 AM,Press 1,86,July
2 AM,Press 1,74,July
3 AM,Press 1,93,July
4 AM,Press 1,68,July
5 AM,Press 1,65,July
6 AM,Press 1,109,July
7 AM,Press 1,148,July
8 AM,Press 1,245,July
9 AM,Press 1,237,July
10 AM,Press 1,233,July
11 AM,Press 1,223,July
12 PM,Press 1,254,July
1 PM,Press 1,266,July
2 PM,Press 1,251,July
3 PM,Press 1,236,July
4 PM,Press 1,262,July
5 PM,Press 1,222,July
6 PM,Press 1,253,July
7 PM,Press 1,234,July
8 PM,Press 1,223,July
9 PM,Press 1,173,July
10 PM,Press 1,159,July
11 PM,Press 1,165,July
12 AM,Press 1,122,August
1 AM,Press 1,129,August
2 AM,Press 1,137,August
3 AM,Press 1,104,August
4 AM,Press 1,103,August
5 AM,Press 1,101,August
6 AM,Press 1,124,August
7 AM,Press 1,154,August
8 AM,Press 1,193,August
9 AM,Press 1,201,August
10 AM,Press 1,236,August
11 AM,Press 1,231,August
12 PM,Press 1,236,August
1 PM,Press 1,215,August
2 PM,Press 1,237,August
3 PM,Press 1,217,August
4 PM,Press 1,210,August
5 PM,Press 1,207,August
6 PM,Press 1,200,August
7 PM,Press 1,199,August
8 PM,Press 1,189,August
9 PM,Press 1,191,August
10 PM,Press 1,185,August
11 PM,Press 1,176,August
12 AM,Press 1,168,September
1 AM,Press 1,98,September
2 AM,Press 1,86,September
3 AM,Press 1,90,September
4 AM,Press 1,91,September
5 AM,Press 1,94,September
6 AM,Press 1,117,September
7 AM,Press 1,164,September
8 AM,Press 1,185,September
9 AM,Press 1,213,September
10 AM,Press 1,229,September
11 AM,Press 1,239,September
12 PM,Press 1,243,September
1 PM,Press 1,208,September
2 PM,Press 1,247,September
3 PM,Press 1,217,September
4 PM,Press 1,200,September
5 PM,Press 1,220,September
6 PM,Press 1,257,September
7 PM,Press 1,235,September
8 PM,Press 1,209,September
9 PM,Press 1,220,September
10 PM,Press 1,180,September
11 PM,Press 1,180,September
12 AM,Press 1,152,October
1 AM,Press 1,124,October
2 AM,Press 1,97,October
3 AM,Press 1,82,October
4 AM,Press 1,90,October
5 AM,Press 1,107,October
6 AM,Press 1,141,October
7 AM,Press 1,157,October
8 AM,Press 1,212,October
9 AM,Press 1,224,October
10 AM,Press 1,241,October
11 AM,Press 1,251,October
12 PM,Press 1,251,October
1 PM,Press 1,239,October
2 PM,Press 1,226,October
3 PM,Press 1,227,October
4 PM,Press 1,216,October
5 PM,Press 1,200,October
6 PM,Press 1,239,October
7 PM,Press 1,198,October
8 PM,Press 1,256,October
9 PM,Press 1,280,October
10 PM,Press 1,197,October
11 PM,Press 1,161,October
12 AM,Press 1,140,November
1 AM,Press 1,107,November
2 AM,Press 1,93,November
3 AM,Press 1,79,November
4 AM,Press 1,65,November
5 AM,Press 1,60,November
6 AM,Press 1,97,November
7 AM,Press 1,121,November
8 AM,Press 1,174,November
9 AM,Press 1,211,November
10 AM,Press 1,236,November
11 AM,Press 1,241,November
12 PM,Press 1,258,November
1 PM,Press 1,256,November
2 PM,Press 1,237,November
3 PM,Press 1,227,November
4 PM,Press 1,220,November
5 PM,Press 1,193,November
6 PM,Press 1,221,November
7 PM,Press 1,192,November
8 PM,Press 1,213,November
9 PM,Press 1,217,November
10 PM,Press 1,236,November
11 PM,Press 1,232,November
12 AM,Press 1,161.0,December
1 AM,Press 1,104.0,December
2 AM,Press 1,101.0,December
3 AM,Press 1,91.0,December
4 AM,Press 1,78.0,December
5 AM,Press 1,105.0,December
6 AM,Press 1,93.0,December
7 AM,Press 1,170.0,December
8 AM,Press 1,201.0,December
9 AM,Press 1,219.0,December
10 AM,Press 1,252.0,December
11 AM,Press 1,215.0,December
12 PM,Press 1,240.0,December
1 PM,Press 1,232.0,December
2 PM,Press 1,240.0,December
3 PM,Press 1,272.0,December
4 PM,Press 1,238.0,December
5 PM,Press 1,204.0,December
6 PM,Press 1,228.0,December
7 PM,Press 1,204.0,December
8 PM,Press 1,202.0,December
9 PM,Press 1,241.0,December
10 PM,Press 1,176.0,December
11 PM,Press 1,200.0,December
12 AM,Press 1,146.0,January
1 AM,Press 1,104.0,January
2 AM,Press 1,87.0,January
3 AM,Press 1,87.0,January
4 AM,Press 1,88.0,January
5 AM,Press 1,127.0,January
6 AM,Press 1,146.0,January
7 AM,Press 1,185.0,January
8 AM,Press 1,228.0,January
9 AM,Press 1,213.0,January
10 AM,Press 1,238.0,January
11 AM,Press 1,240.0,January
12 PM,Press 1,251.0,January
1 PM,Press 1,237.0,January
2 PM,Press 1,262.0,January
3 PM,Press 1,269.0,January
4 PM,Press 1,254.0,January
5 PM,Press 1,217.0,January
6 PM,Press 1,197.0,January
7 PM,Press 1,192.0,January
8 PM,Press 1,210.0,January
9 PM,Press 1,247.0,January
10 PM,Press 1,182.0,January
11 PM,Press 1,203.0,January
