Call Count Range,# of Calls,Month
2 - 4 calls,2862,July
5 - 7 calls,270,July
8 - 10 calls,113,July
More than 10 calls,148,July
2 - 4 calls,3086,August
5 - 7 calls,328,August
8 - 10 calls,126,August
More than 10 calls,184,August
2 - 4 calls,3302,September
5 - 7 calls,371,September
8 - 10 calls,137,September
More than 10 calls,189,September
2 - 4 calls,3430,October
5 - 7 calls,381,October
8 - 10 calls,123,October
More than 10 calls,99,October
2 - 4 calls,3382,November
5 - 7 calls,334,November
8 - 10 calls,124,November
More than 10 calls,158,November
2 - 4 calls,3266,December
5 - 7 calls,363,December
8 - 10 calls,107,December
More than 10 calls,154,December
2 - 4 calls,3646,January
5 - 7 calls,394,January
8 - 10 calls,132,January
More than 10 calls,167,January
